FPR	TPR	Tissue	Treshold
0.000000	0.704545	Heart_-_Atrial_Appendage	0.010222
0.020455	0.897727	Heart_-_Atrial_Appendage	0.006293
0.536364	1.000000	Heart_-_Atrial_Appendage	0.000000
0.793182	1.000000	Heart_-_Atrial_Appendage	0.000000
0.004545	0.806818	Heart_-_Atrial_Appendage	0.009091
0.790909	1.000000	Heart_-_Atrial_Appendage	0.000000
0.243182	0.988636	Heart_-_Atrial_Appendage	0.000000
0.736364	1.000000	Heart_-_Atrial_Appendage	0.000000
0.915909	1.000000	Heart_-_Atrial_Appendage	0.000000
0.227273	0.977273	Heart_-_Atrial_Appendage	0.000000
0.886364	1.000000	Heart_-_Atrial_Appendage	0.000000
0.188636	0.977273	Heart_-_Atrial_Appendage	0.000003
0.206818	0.977273	Heart_-_Atrial_Appendage	0.000001
0.545455	1.000000	Heart_-_Atrial_Appendage	0.000000
0.154545	0.977273	Heart_-_Atrial_Appendage	0.000034
0.454545	1.000000	Heart_-_Atrial_Appendage	0.000000
0.097727	0.977273	Heart_-_Atrial_Appendage	0.000422
0.456818	1.000000	Heart_-_Atrial_Appendage	0.000000
0.470455	1.000000	Heart_-_Atrial_Appendage	0.000000
0.000000	0.590909	Heart_-_Atrial_Appendage	0.010848
0.452273	1.000000	Heart_-_Atrial_Appendage	0.000000
0.788636	1.000000	Heart_-_Atrial_Appendage	0.000000
0.000000	0.227273	Heart_-_Atrial_Appendage	0.011247
0.734091	1.000000	Heart_-_Atrial_Appendage	0.000000
0.309091	0.988636	Heart_-_Atrial_Appendage	0.000000
0.079545	0.977273	Heart_-_Atrial_Appendage	0.000632
0.586364	1.000000	Heart_-_Atrial_Appendage	0.000000
0.000000	0.568182	Heart_-_Atrial_Appendage	0.010875
0.786364	1.000000	Heart_-_Atrial_Appendage	0.000000
0.145455	0.977273	Heart_-_Atrial_Appendage	0.000045
0.000000	0.420455	Heart_-_Atrial_Appendage	0.011121
0.340909	0.988636	Heart_-_Atrial_Appendage	0.000000
0.000000	0.272727	Heart_-_Atrial_Appendage	0.011211
0.970455	1.000000	Heart_-_Atrial_Appendage	0.000000
0.165909	0.977273	Heart_-_Atrial_Appendage	0.000024
0.084091	0.977273	Heart_-_Atrial_Appendage	0.000513
0.070455	0.977273	Heart_-_Atrial_Appendage	0.000916
0.784091	1.000000	Heart_-_Atrial_Appendage	0.000000
0.781818	1.000000	Heart_-_Atrial_Appendage	0.000000
0.222727	0.977273	Heart_-_Atrial_Appendage	0.000000
0.563636	1.000000	Heart_-_Atrial_Appendage	0.000000
0.372727	0.988636	Heart_-_Atrial_Appendage	0.000000
0.004545	0.829545	Heart_-_Atrial_Appendage	0.008916
0.245455	0.988636	Heart_-_Atrial_Appendage	0.000000
0.043182	0.943182	Heart_-_Atrial_Appendage	0.002516
0.895455	1.000000	Heart_-_Atrial_Appendage	0.000000
0.463636	1.000000	Heart_-_Atrial_Appendage	0.000000
0.593182	1.000000	Heart_-_Atrial_Appendage	0.000000
0.000000	0.261364	Heart_-_Atrial_Appendage	0.011211
0.529545	1.000000	Heart_-_Atrial_Appendage	0.000000
0.440909	1.000000	Heart_-_Atrial_Appendage	0.000000
0.602273	1.000000	Heart_-_Atrial_Appendage	0.000000
0.663636	1.000000	Heart_-_Atrial_Appendage	0.000000
0.000000	0.443182	Heart_-_Atrial_Appendage	0.011090
0.600000	1.000000	Heart_-_Atrial_Appendage	0.000000
0.393182	0.988636	Heart_-_Atrial_Appendage	0.000000
0.011364	0.897727	Heart_-_Atrial_Appendage	0.006952
0.436364	1.000000	Heart_-_Atrial_Appendage	0.000000
0.868182	1.000000	Heart_-_Atrial_Appendage	0.000000
0.597727	1.000000	Heart_-_Atrial_Appendage	0.000000
0.843182	1.000000	Heart_-_Atrial_Appendage	0.000000
0.000000	0.534091	Heart_-_Atrial_Appendage	0.010976
0.579545	1.000000	Heart_-_Atrial_Appendage	0.000000
0.000000	0.045455	Heart_-_Atrial_Appendage	0.011342
0.375000	0.988636	Heart_-_Atrial_Appendage	0.000000
0.004545	0.840909	Heart_-_Atrial_Appendage	0.008767
0.000000	0.215909	Heart_-_Atrial_Appendage	0.011253
0.609091	1.000000	Heart_-_Atrial_Appendage	0.000000
0.209091	0.977273	Heart_-_Atrial_Appendage	0.000001
0.270455	0.988636	Heart_-_Atrial_Appendage	0.000000
0.000000	0.602273	Heart_-_Atrial_Appendage	0.010822
0.704545	1.000000	Heart_-_Atrial_Appendage	0.000000
0.229545	0.977273	Heart_-_Atrial_Appendage	0.000000
0.002273	0.750000	Heart_-_Atrial_Appendage	0.010044
0.534091	1.000000	Heart_-_Atrial_Appendage	0.000000
0.000000	0.306818	Heart_-_Atrial_Appendage	0.011196
0.981818	1.000000	Heart_-_Atrial_Appendage	0.000000
0.643182	1.000000	Heart_-_Atrial_Appendage	0.000000
0.731818	1.000000	Heart_-_Atrial_Appendage	0.000000
0.881818	1.000000	Heart_-_Atrial_Appendage	0.000000
0.475000	1.000000	Heart_-_Atrial_Appendage	0.000000
0.000000	0.159091	Heart_-_Atrial_Appendage	0.011297
0.427273	1.000000	Heart_-_Atrial_Appendage	0.000000
0.065909	0.977273	Heart_-_Atrial_Appendage	0.001069
0.000000	0.636364	Heart_-_Atrial_Appendage	0.010676
0.302273	0.988636	Heart_-_Atrial_Appendage	0.000000
0.002273	0.738636	Heart_-_Atrial_Appendage	0.010079
0.029545	0.931818	Heart_-_Atrial_Appendage	0.004460
0.995455	1.000000	Heart_-_Atrial_Appendage	0.000000
0.975000	1.000000	Heart_-_Atrial_Appendage	0.000000
0.927273	1.000000	Heart_-_Atrial_Appendage	0.000000
0.568182	1.000000	Heart_-_Atrial_Appendage	0.000000
0.140909	0.977273	Heart_-_Atrial_Appendage	0.000053
0.127273	0.977273	Heart_-_Atrial_Appendage	0.000132
0.334091	0.988636	Heart_-_Atrial_Appendage	0.000000
0.290909	0.988636	Heart_-_Atrial_Appendage	0.000000
0.779545	1.000000	Heart_-_Atrial_Appendage	0.000000
0.777273	1.000000	Heart_-_Atrial_Appendage	0.000000
0.911364	1.000000	Heart_-_Atrial_Appendage	0.000000
0.250000	0.988636	Heart_-_Atrial_Appendage	0.000000
0.775000	1.000000	Heart_-_Atrial_Appendage	0.000000
0.890909	1.000000	Heart_-_Atrial_Appendage	0.000000
0.354545	0.988636	Heart_-_Atrial_Appendage	0.000000
0.000000	0.681818	Heart_-_Atrial_Appendage	0.010559
0.490909	1.000000	Heart_-_Atrial_Appendage	0.000000
0.338636	0.988636	Heart_-_Atrial_Appendage	0.000000
0.929545	1.000000	Heart_-_Atrial_Appendage	0.000000
