ratio	counts
0.0	193
0.0006765899864682003	252
0.0013531799729364006	279
0.0020297699594046007	13362
0.0027063599458728013	15090
0.0033829499323410014	15905
0.0040595399188092015	16408
0.004736129905277402	16787
0.005412719891745603	17125
0.006089309878213802	17345
0.006765899864682003	17524
0.007442489851150203	17704
0.008119079837618403	17879
0.008795669824086604	18034
0.009472259810554804	18177
0.010148849797023005	18297
0.010825439783491205	18406
0.011502029769959404	18511
0.012178619756427604	18611
0.012855209742895805	18706
0.013531799729364006	18804
0.014208389715832206	18907
0.014884979702300407	18975
0.015561569688768605	19075
0.016238159675236806	19147
0.016914749661705007	19216
0.017591339648173207	19275
0.018267929634641408	19358
0.018944519621109608	19436
0.01962110960757781	19500
0.02029769959404601	19555
0.02097428958051421	19614
0.02165087956698241	19668
0.022327469553450607	19730
0.023004059539918808	19788
0.02368064952638701	19840
0.02435723951285521	19884
0.02503382949932341	19939
0.02571041948579161	19980
0.02638700947225981	20029
0.02706359945872801	20079
0.02774018944519621	20130
0.028416779431664412	20180
0.029093369418132613	20214
0.029769959404600813	20264
0.030446549391069014	20329
0.03112313937753721	20372
0.031799729364005415	20420
0.03247631935047361	20455
0.033152909336941816	20500
0.03382949932341001	20545
0.03450608930987822	20587
0.035182679296346414	20612
0.03585926928281461	20651
0.036535859269282815	20686
0.03721244925575101	20727
0.037889039242219216	20766
0.03856562922868741	20804
0.03924221921515562	20836
0.039918809201623814	20863
0.04059539918809202	20905
0.041271989174560215	20926
0.04194857916102842	20959
0.04262516914749662	20981
0.04330175913396482	21020
0.04397834912043302	21048
0.044654939106901215	21076
0.04533152909336942	21115
0.046008119079837616	21144
0.04668470906630582	21175
0.04736129905277402	21203
0.04803788903924222	21242
0.04871447902571042	21270
0.04939106901217862	21303
0.05006765899864682	21330
0.05074424898511502	21355
0.05142083897158322	21383
0.052097428958051424	21408
0.05277401894451962	21441
0.05345060893098782	21470
0.05412719891745602	21496
0.05480378890392422	21524
0.05548037889039242	21553
0.05615696887686062	21590
0.056833558863328824	21621
0.05751014884979702	21643
0.058186738836265225	21668
0.05886332882273342	21699
0.05953991880920163	21732
0.060216508795669824	21773
0.06089309878213803	21793
0.061569688768606225	21831
0.06224627875507442	21857
0.06292286874154263	21881
0.06359945872801083	21906
0.06427604871447902	21929
0.06495263870094722	21943
0.06562922868741543	21968
0.06630581867388363	21982
0.06698240866035182	22004
0.06765899864682003	22033
0.06833558863328823	22055
0.06901217861975643	22082
0.06968876860622462	22100
0.07036535859269283	22125
0.07104194857916103	22138
0.07171853856562922	22165
0.07239512855209743	22188
0.07307171853856563	22217
0.07374830852503383	22242
0.07442489851150202	22261
0.07510148849797023	22286
0.07577807848443843	22303
0.07645466847090664	22331
0.07713125845737483	22348
0.07780784844384303	22368
0.07848443843031123	22384
0.07916102841677942	22397
0.07983761840324763	22427
0.08051420838971583	22449
0.08119079837618404	22466
0.08186738836265223	22486
0.08254397834912043	22509
0.08322056833558863	22522
0.08389715832205684	22534
0.08457374830852503	22561
0.08525033829499323	22578
0.08592692828146144	22597
0.08660351826792964	22619
0.08728010825439783	22646
0.08795669824086604	22664
0.08863328822733424	22682
0.08930987821380243	22699
0.08998646820027063	22715
0.09066305818673884	22735
0.09133964817320704	22752
0.09201623815967523	22766
0.09269282814614344	22780
0.09336941813261164	22795
0.09404600811907984	22812
0.09472259810554803	22826
0.09539918809201624	22840
0.09607577807848444	22858
0.09675236806495263	22875
0.09742895805142084	22896
0.09810554803788904	22909
0.09878213802435724	22922
0.09945872801082543	22941
0.10013531799729364	22960
0.10081190798376184	22977
0.10148849797023005	22996
0.10216508795669824	23013
0.10284167794316644	23033
0.10351826792963464	23045
0.10419485791610285	23062
0.10487144790257104	23082
0.10554803788903924	23098
0.10622462787550745	23108
0.10690121786197564	23126
0.10757780784844384	23145
0.10825439783491204	23164
0.10893098782138025	23176
0.10960757780784844	23194
0.11028416779431664	23213
0.11096075778078485	23223
0.11163734776725305	23235
0.11231393775372124	23248
0.11299052774018944	23264
0.11366711772665765	23273
0.11434370771312584	23290
0.11502029769959404	23310
0.11569688768606225	23326
0.11637347767253045	23350
0.11705006765899864	23365
0.11772665764546685	23378
0.11840324763193505	23398
0.11907983761840325	23418
0.11975642760487144	23430
0.12043301759133965	23443
0.12110960757780785	23460
0.12178619756427606	23473
0.12246278755074425	23489
0.12313937753721245	23502
0.12381596752368065	23515
0.12449255751014884	23535
0.12516914749661706	23551
0.12584573748308525	23563
0.12652232746955344	23573
0.12719891745602166	23585
0.12787550744248985	23598
0.12855209742895804	23616
0.12922868741542626	23629
0.12990527740189445	23649
0.13058186738836267	23657
0.13125845737483086	23667
0.13193504736129905	23682
0.13261163734776726	23703
0.13328822733423545	23725
0.13396481732070364	23748
0.13464140730717186	23761
0.13531799729364005	23774
0.13599458728010824	23784
0.13667117726657646	23800
0.13734776725304465	23813
0.13802435723951287	23825
0.13870094722598106	23839
0.13937753721244925	23857
0.14005412719891747	23873
0.14073071718538566	23883
0.14140730717185385	23897
0.14208389715832206	23909
0.14276048714479025	23922
0.14343707713125844	23942
0.14411366711772666	23957
0.14479025710419485	23968
0.14546684709066307	23978
0.14614343707713126	24001
0.14682002706359945	24020
0.14749661705006767	24034
0.14817320703653586	24041
0.14884979702300405	24059
0.14952638700947227	24074
0.15020297699594046	24087
0.15087956698240865	24101
0.15155615696887687	24112
0.15223274695534506	24124
0.15290933694181327	24137
0.15358592692828146	24147
0.15426251691474965	24163
0.15493910690121787	24179
0.15561569688768606	24188
0.15629228687415425	24198
