FPR	TPR	Tissue	Treshold
0.771212	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.643939	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000009
0.992424	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.015152	0.272727	Brain_-_Putamen_(Basal_Ganglia)	0.008909
0.260606	0.927273	Brain_-_Putamen_(Basal_Ganglia)	0.000971
0.901515	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.084848	0.690909	Brain_-_Putamen_(Basal_Ganglia)	0.003814
0.318182	0.945455	Brain_-_Putamen_(Basal_Ganglia)	0.000641
0.524242	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000071
0.289394	0.927273	Brain_-_Putamen_(Basal_Ganglia)	0.000800
0.250000	0.927273	Brain_-_Putamen_(Basal_Ganglia)	0.001037
0.630303	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000014
0.892424	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.239394	0.909091	Brain_-_Putamen_(Basal_Ganglia)	0.001113
0.112121	0.763636	Brain_-_Putamen_(Basal_Ganglia)	0.003085
0.719697	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000001
0.433333	0.981818	Brain_-_Putamen_(Basal_Ganglia)	0.000245
0.451515	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000191
0.716667	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000001
0.407576	0.981818	Brain_-_Putamen_(Basal_Ganglia)	0.000302
0.022727	0.345455	Brain_-_Putamen_(Basal_Ganglia)	0.008116
0.442424	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000216
0.548485	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000048
0.089394	0.709091	Brain_-_Putamen_(Basal_Ganglia)	0.003487
0.110606	0.763636	Brain_-_Putamen_(Basal_Ganglia)	0.003129
0.033333	0.436364	Brain_-_Putamen_(Basal_Ganglia)	0.006837
0.165152	0.818182	Brain_-_Putamen_(Basal_Ganglia)	0.001992
0.754545	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.875758	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.681818	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000002
0.042424	0.472727	Brain_-_Putamen_(Basal_Ganglia)	0.006349
0.995455	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.537879	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000053
0.668182	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000004
0.769697	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.763636	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.865152	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.390909	0.963636	Brain_-_Putamen_(Basal_Ganglia)	0.000376
0.357576	0.963636	Brain_-_Putamen_(Basal_Ganglia)	0.000440
0.362121	0.963636	Brain_-_Putamen_(Basal_Ganglia)	0.000430
0.631818	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000012
0.580303	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000029
0.816667	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.736364	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.848485	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.430303	0.981818	Brain_-_Putamen_(Basal_Ganglia)	0.000250
0.504545	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000093
0.777273	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.221212	0.909091	Brain_-_Putamen_(Basal_Ganglia)	0.001258
0.048485	0.472727	Brain_-_Putamen_(Basal_Ganglia)	0.005946
0.834848	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.253030	0.927273	Brain_-_Putamen_(Basal_Ganglia)	0.001016
0.171212	0.818182	Brain_-_Putamen_(Basal_Ganglia)	0.001793
0.201515	0.854545	Brain_-_Putamen_(Basal_Ganglia)	0.001510
0.000000	0.072727	Brain_-_Putamen_(Basal_Ganglia)	0.012955
0.778788	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.860606	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.722727	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000001
0.030303	0.400000	Brain_-_Putamen_(Basal_Ganglia)	0.007549
0.784848	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.315152	0.945455	Brain_-_Putamen_(Basal_Ganglia)	0.000650
0.209091	0.872727	Brain_-_Putamen_(Basal_Ganglia)	0.001418
0.883333	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.336364	0.945455	Brain_-_Putamen_(Basal_Ganglia)	0.000534
0.662121	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000006
0.063636	0.581818	Brain_-_Putamen_(Basal_Ganglia)	0.005012
0.210606	0.909091	Brain_-_Putamen_(Basal_Ganglia)	0.001393
0.456061	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000181
0.093939	0.709091	Brain_-_Putamen_(Basal_Ganglia)	0.003415
0.403030	0.963636	Brain_-_Putamen_(Basal_Ganglia)	0.000316
0.637879	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000011
0.389394	0.963636	Brain_-_Putamen_(Basal_Ganglia)	0.000376
0.448485	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000205
0.172727	0.836364	Brain_-_Putamen_(Basal_Ganglia)	0.001781
0.406061	0.963636	Brain_-_Putamen_(Basal_Ganglia)	0.000309
0.224242	0.909091	Brain_-_Putamen_(Basal_Ganglia)	0.001206
0.001515	0.109091	Brain_-_Putamen_(Basal_Ganglia)	0.012672
0.712121	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000001
0.337879	0.945455	Brain_-_Putamen_(Basal_Ganglia)	0.000524
0.750000	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.912121	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.706061	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000001
0.983333	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.945455	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.216667	0.909091	Brain_-_Putamen_(Basal_Ganglia)	0.001362
0.153030	0.818182	Brain_-_Putamen_(Basal_Ganglia)	0.002114
0.950000	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.507576	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000090
0.660606	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000006
0.443939	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000215
0.196970	0.854545	Brain_-_Putamen_(Basal_Ganglia)	0.001543
0.309091	0.927273	Brain_-_Putamen_(Basal_Ganglia)	0.000672
0.898485	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.981818	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.590909	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000024
0.527273	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000067
0.024242	0.381818	Brain_-_Putamen_(Basal_Ganglia)	0.007857
0.213636	0.909091	Brain_-_Putamen_(Basal_Ganglia)	0.001370
0.575758	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000033
0.890909	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.693939	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000002
0.296970	0.927273	Brain_-_Putamen_(Basal_Ganglia)	0.000749
0.803030	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.436364	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000231
0.043939	0.472727	Brain_-_Putamen_(Basal_Ganglia)	0.006257
0.372727	0.963636	Brain_-_Putamen_(Basal_Ganglia)	0.000411
0.519697	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000075
0.028788	0.400000	Brain_-_Putamen_(Basal_Ganglia)	0.007748
0.483333	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000120
0.245455	0.927273	Brain_-_Putamen_(Basal_Ganglia)	0.001072
0.092424	0.709091	Brain_-_Putamen_(Basal_Ganglia)	0.003434
0.209091	0.890909	Brain_-_Putamen_(Basal_Ganglia)	0.001399
0.234848	0.909091	Brain_-_Putamen_(Basal_Ganglia)	0.001166
0.022727	0.381818	Brain_-_Putamen_(Basal_Ganglia)	0.007928
0.240909	0.909091	Brain_-_Putamen_(Basal_Ganglia)	0.001110
0.730303	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.887879	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.392424	0.963636	Brain_-_Putamen_(Basal_Ganglia)	0.000364
0.851515	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.098485	0.709091	Brain_-_Putamen_(Basal_Ganglia)	0.003342
0.300000	0.927273	Brain_-_Putamen_(Basal_Ganglia)	0.000736
0.446970	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000213
0.895455	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.677273	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000003
0.231818	0.909091	Brain_-_Putamen_(Basal_Ganglia)	0.001169
0.613636	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000018
0.728788	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000001
0.863636	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.401515	0.963636	Brain_-_Putamen_(Basal_Ganglia)	0.000317
0.489394	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000109
0.012121	0.236364	Brain_-_Putamen_(Basal_Ganglia)	0.009300
0.301515	0.927273	Brain_-_Putamen_(Basal_Ganglia)	0.000718
0.010606	0.236364	Brain_-_Putamen_(Basal_Ganglia)	0.009357
0.222727	0.909091	Brain_-_Putamen_(Basal_Ganglia)	0.001232
0.310606	0.945455	Brain_-_Putamen_(Basal_Ganglia)	0.000652
0.100000	0.709091	Brain_-_Putamen_(Basal_Ganglia)	0.003330
0.316667	0.945455	Brain_-_Putamen_(Basal_Ganglia)	0.000642
0.498485	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000099
0.072727	0.654545	Brain_-_Putamen_(Basal_Ganglia)	0.004229
0.133333	0.818182	Brain_-_Putamen_(Basal_Ganglia)	0.002535
0.501515	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000094
0.601515	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000022
0.878788	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.246970	0.927273	Brain_-_Putamen_(Basal_Ganglia)	0.001058
0.954545	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.251515	0.927273	Brain_-_Putamen_(Basal_Ganglia)	0.001020
0.366667	0.963636	Brain_-_Putamen_(Basal_Ganglia)	0.000418
0.048485	0.490909	Brain_-_Putamen_(Basal_Ganglia)	0.005879
0.139394	0.818182	Brain_-_Putamen_(Basal_Ganglia)	0.002464
0.640909	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000010
0.642424	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000010
0.859091	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.821212	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.843939	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.496970	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000101
0.600000	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000023
0.683333	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000002
